year,prev_1_1,prev_1_12,prev_1_24,prev_1_36,prev_2_12,prev_2_24,prev_2_36
1965,0.4489804,0.772914376298,0.772914376298,0.772914376298,0.654221241222,0.654221241222,0.654221241222
1966,0.0,0.181371867275,0.181371867275,0.181371867275,0.145023747533,0.145023747533,0.145023747533
1967,1.04853867811,0.360627668982,0.171384561646,0.171384561646,0.35911555508,0.151777866561,0.151777866561
1968,0.0,0.0122725355921,-0.0634356545466,-0.0678875034024,0.00931087548433,-0.0508030204365,-0.0676682404604
1969,-0.466614494807,-0.320046176951,-0.271275709864,-0.260338535154,-0.266245533824,-0.271101716849,-0.261808693208
1970,0.424575251128,0.372958001866,0.403013055255,0.399800786233,0.382797991479,0.358058388316,0.399246036336
1971,0.0,0.284934960883,0.44516005828,0.378166799968,0.261224309384,0.398430511884,0.348893185131
1972,-0.502978,-0.104861280888,-0.0895133627202,-0.0702958086708,-0.157419925187,-0.0912605469268,-0.0695367085995
1973,-0.178976955344,-0.141275328962,-0.157538736343,-0.150974736736,-0.122649114584,-0.154698890319,-0.150411097425
1974,0.165470533932,0.311142237194,0.257341493848,0.146282090039,0.294993975425,0.261633084635,0.138492716063
1975,0.111125994587,0.197734658497,0.168522715079,0.10677231602,0.188512903359,0.195774662039,0.109804480218
1976,0.00971768973201,0.127096015259,0.0837079449664,-0.00441821684994,0.103880863223,0.0757884614211,-0.019649235441
1977,0.236999640842,0.170927909353,0.161903115023,0.0485466719451,0.255490280337,0.171857823055,0.0631508854963
1978,0.522654447427,0.174497195405,0.208761728767,0.168431369426,0.170138026563,0.216199707529,0.17268399658
1979,0.052641700613,0.576922792553,0.393020316527,0.325920717531,0.613631779882,0.40939519782,0.333541582667
1980,0.271435977696,0.170589484785,0.182693631378,0.302711345589,0.183806170297,0.190526173585,0.315526286542
1981,-0.630819515307,-0.251830738389,-0.23778883012,-0.237410468445,-0.271430901306,-0.24707034502,-0.238206896972
1982,0.98448563311,0.700953247613,0.697852323468,0.655998241727,0.644050567568,0.706614022406,0.646984739337
1983,-0.659156501145,-0.360702352064,-0.32086626575,-0.250533400763,-0.381437282615,-0.345259402364,-0.250284171151
1984,0.170920081368,0.362003643214,0.301180901087,0.326710738017,0.330272138225,0.29150469087,0.322910566666
1985,-0.462599303384,0.49673636209,0.46324040277,0.36847752685,0.505303960289,0.44873439725,0.366368403282
1986,-0.378851629526,0.0938018315271,0.130447050233,0.142688410091,0.0740054173193,0.140539702645,0.142818700529
1987,-0.230532867104,-0.0534077481886,-0.0712310377743,-0.0629908219661,-0.0538120436472,-0.0720642224978,-0.0619866452523
1988,0.103199323405,0.131593084102,0.118841752752,0.190983022529,0.188616808516,0.127337977823,0.194425983388
1989,-0.191405284286,0.128060269827,0.161278144589,0.184228153013,0.148920531568,0.173471162629,0.190949211983
1990,-0.196698072805,0.0769137306938,0.0893585671681,0.0826512868987,0.0629157648659,0.0809871528603,0.0767901132966
1991,-0.131521445709,0.268212360215,0.179116567155,0.148019015821,0.249234066273,0.153497715976,0.144618138833
1992,0.118353547138,0.338613990313,0.15965385266,0.0688371751574,0.32993104607,0.161038354451,0.0689474654986
1993,-0.346455066488,0.0372053517217,0.0296952287563,0.0117660279906,0.0360554936114,0.0372581650646,-0.00229850695886
1994,0.225108039065,0.354895946124,0.282478057736,0.249650599501,0.324659410833,0.292722964719,0.250831650908
1995,-0.0748665449785,0.246733679254,0.244664494898,0.261528407538,0.271717820728,0.248419070636,0.268751433457
1996,-0.509352525846,0.0293769360822,0.340592059406,0.339316563281,0.0301335294933,0.313973658691,0.32607214719
1997,-0.0781030326383,0.391088782913,0.320955402284,0.286556298305,0.384635709386,0.325652467692,0.292101086045
1998,1.70695155068,0.408936544383,0.198835491528,0.183329693949,0.379031312165,0.212647167042,0.181118710565
1999,0.924803123444,0.414451903473,0.240133099367,0.145348244199,0.445843860748,0.18793057997,0.126147156966
2000,-0.715614359358,-0.554449132164,-0.514918389551,-0.349181261928,-0.570260094814,-0.5161298923,-0.347462616517
2001,-0.332505666145,-0.016726220681,-0.271932554262,-0.344373636973,-0.0412539231182,-0.258728909847,-0.30659448193
2002,-0.433411165113,0.0190523920211,0.0109500120972,0.0195573048857,0.0404691522282,0.0095208776846,0.0327029854358
2003,0.392588346752,0.393025136276,0.333862142005,0.242785840377,0.467680985872,0.349886865388,0.235961528538
2004,0.193648,0.0729180880064,0.054277642801,0.151070642849,0.05476026822,0.0415298124518,0.151242374589
2005,-0.0385400096276,0.216412068448,0.185833569321,0.175382609995,0.215569748984,0.179452979314,0.168211830457
2006,-0.009948526486,0.187554069919,0.234011664474,0.224257710111,0.19612401901,0.244830354293,0.228669374465
2007,-0.158542376641,0.0907523049094,0.0205135462717,0.0116821316136,0.0809108435298,0.00390997197069,0.00494611245144
2008,-0.582749860857,-0.437773945899,-0.313546895407,-0.295775325169,-0.380857347042,-0.288716114885,-0.286339228088
2009,0.108463613006,0.165517226729,0.184612760906,0.121380377156,0.158523507979,0.129209364158,0.114610064754
2010,0.0268858,0.461656929599,0.398891061931,0.360764057036,0.453052821714,0.387289093416,0.393075326324
2011,-0.249955756948,-0.10096810172,0.0195495201449,0.0861107146965,-0.112526507888,0.0198491235257,0.0854090358097
2012,0.215813485232,0.102205635613,0.171026515977,0.178227220916,0.0727040667844,0.171673776909,0.183251378625
2013,-0.295221088393,0.356448586486,0.290202713702,0.239738292829,0.350093812627,0.278615795228,0.251879012432
2014,0.317550899967,0.06793832081,0.0770648189424,0.122499049493,0.163609225207,0.0924634516309,0.125967682658
2015,-0.271690715196,-0.0969085795845,-0.0286826156866,-0.00650224359243,-0.100517946166,-0.0175174238425,-0.00239899926294
2016,-0.00543357174124,0.0061448761787,0.0208050330539,0.0506626671106,0.0293214749615,0.041402581538,0.0613901513305
